"Typ","GemeindeID","Gemeinde","Kanton","KantonID","Steuerperiode","Quartil","Anzahl","Reingewinn","Steuer","Eigenkapital","DurchschnittProzentAbzugBeteiligung"
"Gemeinde",353,"Bremgarten bei Bern","Bern / Berne",2,"2019","",105,6892600,386708,46212000,2.67935238095238
"Gemeinde",731,"Aegerten","Bern / Berne",2,"2018","",54,1554800,90036,49142000,3.7037037037037
"Gemeinde",3238,"Widnau","St. Gallen",17,"2019","",625,380423000,15809559,3027042000,4.506936
"Gemeinde",88,"Neerach","Zürich",1,"2013","",153,5478100,312235,44502000,1.29044444444444
"Gemeinde",312,"Seedorf (BE)","Bern / Berne",2,"2012","",86,3133700,225561,22456000,1.1233488372093
"Gemeinde",4741,"Lommis","Thurgau",20,"2018","",52,15514200,1311360,98812000,1.92307692307692
"Gemeinde",5492,"Montricher","Vaud",22,"2016","",46,4501000,376538,50735000,0.0393695652173913
"Gemeinde",5285,"Lodrino","Ticino",21,"2016","",52,1786000,151587,36053000,0
"Gemeinde",6481,"Les Hauts-Geneveys","Neuchâtel",24,"2010","",19,109200,9281,3160000,0
"Gemeinde",2013,"Domdidier","Fribourg / Freiburg",10,"2015","",121,15253000,1217593,266384000,1.53535537190083
"Gemeinde",2041,"Saint-Aubin (FR)","Fribourg / Freiburg",10,"2016","",51,1806300,153281,33137000,0
"Gemeinde",1031,"Hochdorf","Luzern",3,"2010","",235,27213700,1969439,302533000,2.31534893617021
"Gemeinde",431,"Corgémont","Bern / Berne",2,"2015","",63,814200,40520,24680000,2.76607936507936
"Gemeinde",354,"Kirchlindach","Bern / Berne",2,"2018","",95,4648100,180525,60421000,2.10526315789474
"Gemeinde",4486,"Hauptwil-Gottshaus","Thurgau",20,"2020","",86,10512300,776042,41358000,3.36072093023256
"Gemeinde",5723,"Mies","Vaud",22,"2018","",105,7425800,583617,89103000,0.952380952380952
"Gemeinde",2445,"Biezwil","Solothurn",11,"2013","",4,25300,2150,689000,0
"Gemeinde",2406,"Oberbuchsiten","Solothurn",11,"2014","",70,7332800,610406,33040000,2.17752857142857
"Gemeinde",5498,"La Sarraz","Vaud",22,"2021","",105,1596100,135031,18402000,0
"Gemeinde",948,"Forst-Längenbühl","Bern / Berne",2,"2013","",18,765800,64980,5646000,0
"Gemeinde",5048,"Acquarossa","Ticino",21,"2013","",74,3128200,265246,28566000,0
"Gemeinde",5590,"Pully","Vaud",22,"2015","",679,1155500000,62860758,906419000,2.51143298969072
"Gemeinde",5885,"Jongny","Vaud",22,"2021","",43,1225300,104150.5,5070000,0
"Gemeinde",2271,"Meyriez","Fribourg / Freiburg",10,"2016","",22,582000,49468,4310000,0
"Gemeinde",194,"Greifensee","Zürich",1,"2018","",122,1107952500,6098228,596476000,3.02472950819672
"Gemeinde",4093,"Birrhard","Aargau",19,"2019","",29,613500,52155,11931000,0
"Gemeinde",2703,"Riehen","Basel-Stadt",12,"2019","",576,58813900,2984459,666143000,1.27905381944444
"Gemeinde",434,"Courtelary","Bern / Berne",2,"2012","",49,8415300,430047,84652000,4.08163265306122
"Gemeinde",6745,"Les Enfers","Jura",26,"2010","",5,67000,5694,1778000,0
"Gemeinde",2518,"Etziken","Solothurn",11,"2021","",28,1614600,137241,14969000,0
"Gemeinde",34,"Laufen-Uhwiesen","Zürich",1,"2020","",47,12823700,969853,69055000,4.46272340425532
"Gemeinde",3823,"Soazza","Graubünden / Grigioni / Grischun",18,"2020","",37,7640300,649425.5,51423400,0
"Gemeinde",6156,"Troistorrents","Valais / Wallis",23,"2016","",171,10720800,892829,97842000,1.2549649122807
"Gemeinde",4142,"Schlossrued","Aargau",19,"2012","",34,2189000,185432,29256000,0
"Gemeinde",2217,"Ponthaux","Fribourg / Freiburg",10,"2019","",21,362700,30826,3020000,0
"Gemeinde",5675,"Lucens","Vaud",22,"2011","",49,8920500,757117,44235000,0
"Gemeinde",5747,"Bofflens","Vaud",22,"2011","",7,276400,23493,2102000,0
"Gemeinde",6784,"Courgenay","Jura",26,"2011","",63,11553100,563260,79937000,3.17460317460317
"Gemeinde",4251,"Hellikon","Aargau",19,"2021","",31,538821,21262.05,5185063,3.22535483870968
"Gemeinde",2213,"Noréaz","Fribourg / Freiburg",10,"2010","",6,4000,340,787000,0
"Gemeinde",101,"Steinmaur","Zürich",1,"2012","",93,3152300,229504,29838000,2.44903225806452
"Gemeinde",1321,"Feusisberg","Schwyz",5,"2020","",1398,1246538300,29590898.1,3165928512,2.64457296137339
"Gemeinde",1407,"Sarnen","Obwalden",6,"2012","",1660,229868500,12725370,3215168000,2.48276385542169
"Gemeinde",6423,"La Sagne","Neuchâtel",24,"2021","",43,1887500,141057.5,15868000,2.32558139534884
"Gemeinde",2843,"Buckten","Basel-Landschaft",13,"2010","",21,396700,33703,3973000,0
"Gemeinde",4132,"Birrwil","Aargau",19,"2019","",55,930900,79141,7275000,0
"Gemeinde",1121,"Alberswil","Luzern",3,"2021","",44,5922600,436092,27908000,4.54545454545455
"Gemeinde",3312,"Benken (SG)","St. Gallen",17,"2018","",80,9310600,771700,116611000,1.3336
"Gemeinde",5415,"Yvorne","Vaud",22,"2016","",43,836400,70579,10957000,0
"Gemeinde",5842,"Rossinière","Vaud",22,"2016","",13,89600,7616,971000,0
"Gemeinde",5830,"Villarzel","Vaud",22,"2013","",11,64700,5498,910000,0
"Gemeinde",611,"Kiesen","Bern / Berne",2,"2012","",40,9497600,303819,26328000,2.48
"Gemeinde",88,"Neerach","Zürich",1,"2016","",176,5626600,363447,48611000,1.676
"Gemeinde",6024,"Nendaz","Valais / Wallis",23,"2017","",320,17778800,1247879,226858000,0.836778125
"Gemeinde",3102,"Gonten","Appenzell Innerrhoden",16,"2018","",78,4511700,366205,43603000,1.28205128205128
"Gemeinde",2427,"Matzendorf","Solothurn",11,"2011","",29,1206100,100424,8793000,3.22658620689655
"Gemeinde",1348,"Vorderthal","Schwyz",5,"2021","",32,735600,57035,8548889,3.116
"Gemeinde",65,"Oberembrach","Zürich",1,"2017","",36,1144900,86678,18826000,1.21005555555556
"Gemeinde",6205,"Bettmeralp","Valais / Wallis",23,"2019","",46,1543200,131178,38932000,0
"Gemeinde",3784,"Pontresina","Graubünden / Grigioni / Grischun",18,"2011","",119,17410200,1129645,130984000,3.9329243697479
"Gemeinde",4181,"Wittnau","Aargau",19,"2020","",64,3053630,258938,28457745,0
"Gemeinde",573,"Brienz (BE)","Bern / Berne",2,"2014","",211,10187800,684035,115652000,2.40165402843602
"Gemeinde",2791,"Röschenz","Basel-Landschaft",13,"2015","",28,256300,21788,0,0
"Gemeinde",4006,"Gränichen","Aargau",19,"2018","",190,30607200,748057,642562000,2.61387368421053
"Gemeinde",218,"Ellikon an der Thur","Zürich",1,"2011","",27,5594200,475513,13867000,0
